@relation opinion
@attribute sentence string
@attribute category {positive,negative,neutral,objective}
@attribute numberOfPositiveWords integer
@attribute numberOfNegativeWords integer
@attribute numberOfNeutralWords integer
@data
' today *very* rare day democrats will healthier club growth scorecards republicans. ',positive,1,0,1
' @broken_prophet kieran boom! lmao.. number terrorist, boom 6 times day lol. ',positive,1,0,0
' gonna watch final destination 5 tonight. leave theater afraid everything. huge escalators sure :s ',neutral,1,1,1
' @vittoriotafur word raiders will releasing depth chart thursday? ',neutral,1,0,0
' kolchak night stalker. x-files, excellent scary tv. netflix huzah ',positive,1,1,0
' pre-practice odds ends: raiders return practice today day sunday. provisions set for... ',neutral,0,0,0
' gops greatest crime? @pwire: boehner proposes obama speech night nfl opening night... ',negative,1,0,0
' eh, em...attention! true blood tonight, yeah! sink ur teeth it! lol ',positive,1,1,0
' today *very* rare day democrats will healthier club growth scorecards republicans. ',positive,1,0,1
' :o inbetweeners movie week today!! aaaahhhh! wear wellies cinema ill knee deep clunge ;) ',positive,0,2,0
' todays #triviathrusday didnt up.... doesnt steve jobs worked atari! ',neutral,0,0,0
' @charlieblythe going big brothers bit side tuesday! thought appreciate haha :) ',positive,1,0,2
' @van_gucci1 wanna inbetweeners wednesday? ',neutral,0,0,0
' usa golf today bob ryan: tiger jag (just guy): bob ryan boston globe called tiger woods ... ',negative,0,0,0
' nip slip happened yesterday good morning america....and nicki minaj happy abc has... ',negative,2,0,0
' increase windows 7 performance 4 easy steps: ... complete windows 7, find lacking po... ',neutral,1,1,1
' gartner: windows 7 94 percent pcs: steven mostyn - aug 10 2011, 07:48 google day seek sh... ',neutral,0,0,0
' "final destination 5" opens friday. well, theyll film "fd6" "fd7." "qualifying heat destination 5." ',neutral,0,0,0
' real madrid #takingittothehouse tonight! #fifa11 ',objective,1,0,0
' rt @blitzmegaplex: kung fu panda 2 (in 2d & 3d, indonesian subtitles) tentatively scheduled open tues 16 august ^isk #fb ',neutral,1,1,0
' debate twilight night? team edward??? ',negative,0,1,0
' tiger woods caddie steve williams $140,000 work adam scott today. tiger woods caddie $5,800 #golf ',neutral,0,0,0
' fabregas doesnt goto barcelona season dream switch alcantra starting seal position #epl ',negative,1,0,1
' watching vampire diaries beginning= classic saturday night. :d @thejosie_f :) lolz ',positive,1,0,0
' final destination 5, august 24. death weve missed you. ',positive,0,1,0
' @peterfacinelli good luck tonight @ teen choice awards :) twilight gonna all!! ill watching xoxo ',positive,2,1,0
' hide country clubs boehner! reverserobocall.com launching & 1st line! join me. #launch ',positive,0,0,0
' [411music] dr. conrad murray stand michael jackson murder trial: jury selection thursday... ',objective,1,1,0
' kayvan novak tonight aka phonejacker aka guy film lions. 1st thing "rubber dingy rapids brudda" ',neutral,0,0,0
' awesome time #sckcs work, saturday nite vegas, fun. ',positive,1,0,0
' media going mad anderson silva rio wednesday , saturday gonna epic @ufc ',positive,1,1,0
' going rise planet apes sunday. @tomfelton appears going shout "draco malfoy!" :d ',positive,0,0,0
' good night. ',positive,1,0,0
' omg really? microsoft fucking freezing machine! fuck??? today day shit happen. ',negative,0,0,0
' girl singing national anthem tonight boise state student. "go ducks" out. didnt faze her. ',positive,0,1,0
' @datukhensem good morning! ',positive,1,0,0
' good football practice today. day saints game, 1 week anderson silva fight rio!!!!! cant wait!!!!!!! ',positive,1,1,0
' @_fatboyslim it?? ',neutral,0,0,0
' nicki miinaj talks robin roberts good morning america: nicki minaj performed good morning america ... ',objective,2,0,0
' @barackobama dont it! respect you! rt @thehill: boehner asks obama move speech thursday ',negative,1,0,1
' final destination 5 move friday... ',neutral,0,0,1
' thing tomorrow.. write blog post newly discovered love vampire diaries! ',positive,1,0,0
' quoted nicki minaj tonight god will forgive ',positive,2,0,0
' tonga will perform haka eden park friday; blacks choose haka simultaneously tonga finishes. ',objective,1,0,0
' droid bionic confirmed september 8th: united states eyes east cost nig... ',objective,0,0,0
' nokia n9 will launch united states: nokia confirmed tuesday flagship meego-powered n9 sma... ',objective,1,0,0
' [411music] dr. conrad murray stand michael jackson murder trial: jury selection thursday... ',objective,1,1,0
' stamp friday goin endless people movies final destination 5 ',neutral,0,1,0
' "@leighfrancis: celebrity juice tonight 10pm itv2. hurrraaaaah! school special" featuring ! wait ! ooosh ',positive,1,0,0
' mta pretty embarrassed tonight. ',negative,1,0,0
' cant wait anderson silva fight saturday woop woop ',positive,0,1,0
' brilliant drew westen offers great critique obama presidency: ',positive,2,0,0
' realized teen choice awards tonight 8! =) hope rob, kristen, twilight wins! ',positive,1,0,0
' gavin henson set rugby cup dislocating bone wrist yesterday ',negative,0,0,0
' asiikk:drt @blitzmegaplex: kung fu panda 2 (in 2d & 3d, indonesian subtitles) tentatively scheduled open tues 16 august ^isk ',objective,1,1,0
' rt @pezthedrummer: photo: mr. jackson rathbone (aka jasper twilight) mighty fine tonight ',positive,2,0,0
' cheers rt @rellarc79: @hartspub aaaamaaaaaziiiing cookie skillet. highly recommend it! ',negative,1,0,0
' good morning! google + invite? #plusinvites. love #gtchat folks there! ',positive,2,0,0
' saturday: picnic park @mrlovis thrown moshpit datsuns london burning. balance things ',neutral,0,0,0
' criticism rick perry ridiculous, choice? obamas hip-hop barbecue days ago, perry praying president today? ',negative,0,1,0
' chris brown feb. 09 rt @kreayshawn: yall treat elvis presley 50s. ',neutral,1,0,0
' kim coates awesome #entourage tonight. sons anarchy. cant wait #samcro ',positive,1,0,0
' @sunnyvegas702 nice! disagreement! course, sat boehner thi (@youtube ',positive,0,0,0
' football season preview start airing tonight mtn..half-hour, program..the latest boise state tonights msr. ',objective,0,0,0
' omg cant wait beyonce gonna vmas sunday august 28th! ',positive,0,0,0
' stuck london again... :( dont wanna spend night mcdonalds! ',negative,0,0,0
' @_loveebreezyy yo man @truthh4 wear dawgs jersey! boise state jerseys going fashion september 4th. #ugadawgswag ',neutral,0,0,0
' april fools day? real madrid signs 7-year-old argentine prospect leo - espn ',negative,2,0,0
' pretty funny? nz lost game tonga tomorrow lol ',positive,1,2,0
' tiger woods caddie steve williams $140,000 work adam scott today. tiger woods caddie $5,800 #golf ',neutral,0,0,0
' doesnt obama sign executive order declares u.s. aaa rating? mean, cmon? ',neutral,0,0,0
' @tankdogc27 steelers fans awesome! that, making mission piss browns fan today hehe #inspiration ',positive,0,0,0
' tuesday september 6th. return best ever! sons anarchy. hell yeahhhh! #soa ',positive,1,1,0
' summerslam preview coming fri. 4 announced matches tho will 7 8. odd. will preview! ',neutral,2,0,0
' teen choice awards tomorrow! cast vampire diaries, true blood supernatural good luck! #tvd! ',neutral,2,1,0
' fun night tonight vampire diaries. great teen choice award winners! ',positive,3,0,0
' fun night girl. early. ice aching body. netflix now.... ',positive,1,0,0
' true mta will running saturday hurricane? ',negative,2,0,0
' gym workout starting beyonce katy,kylie finally bruno great start morning ',positive,1,0,1
' knw ish!... "kev hart voice"...lol! happy sunday!rt @dimaahhh: lol:-prt @credo_liyo: kevin hart ... ',positive,1,0,0
' pavol demitras agent confirms canuck 44 killed plane crash today russia. sad... ',negative,0,0,0
' @joefooty will tenaction broadcast spanish super cup real madrid barcelon 14th 17th august ? ',objective,3,0,0
' hooked sons anarchy @demonrust good watching, day viewing today! ',positive,1,1,0
' boehner proposes obama speech night nfl opening night... ',objective,0,0,0
' cena wins undisputed wwe championship match summerslam sun? riot place!! ',negative,1,0,0
' @jordanknight hope great tonight. & chi/in girls excited london tomorrow! ',positive,3,0,0
' inbetweeners movie coming cinemas ireland 19th august. wanted movie bad!! #shouldbegood ;) ',positive,0,0,0
' check video -- obama, sarkozy, cameron, children kill night? @youtube ',negative,0,1,0
' #inappropriatefuneralsongs thriller michael jackson. dancing great kill zombie grandma great ',neutral,2,1,0
' zan lean nun irene today band camp jus laugh poo ass freshman snare drummers ',negative,1,2,0
' russian air crash kills khl team pavol demitra,karlis skrastins,ruslan salei,brad mccrimmon dead, #rip ',negative,0,0,1
' glad vampire diaries won award night. loves :) ',positive,2,0,0
' night elvis presley ',positive,0,0,0
' dont wear tomorrow definitely work lady gaga team ',neutral,1,1,0
' "@yungbrodee: cabana friday...." find marissa irene rachetts niggas bottle service #hoes ',neutral,0,0,0
' ufc 134 sunday 11am - anderson silva yushin okami - dont it. sports bar live. ',positive,0,1,0
' -- michael jackson - remembering june 13th #onlymjfansunderstand love michael jackson ',neutral,1,0,0
' pj harvey queens stone age today #nowplaying ',objective,0,0,0
' #vmas tonight. refuse support helped jersey shore cast flee hurricane. ',negative,1,1,0
' watch movie lions channel 4 uk sunday 9pm -- jokes from. ',neutral,0,0,0
' good fights tonight glad over. day closer anderson silva clown massive asian man #spidersense ',positive,2,0,1
' oh, oh, realised 3 weddings row pj harvey sunday ',neutral,0,0,0
' #jerzday tonight episode jersey shore season 4 premieres tonight!!!!! :) ',positive,0,0,0
' dang, forrest didnt done. :/ american hope tonight, well... main event anderson silva yushin okami ',negative,1,0,0
' drove bike today, 40 miles. felt jim carrey irene! ',neutral,0,0,1
' #nw kung fu panda 2. dnt judge me, animated movies (plus 1st shit). ',positive,1,0,0
' mta agent me: "this card damanged yesterday morning." me: "but night." mta: "no didnt." ',neutral,0,0,0
' absolutely gutted. watch rt @680news lloyd robertson set 41year national news anchor tonight ',negative,0,0,1
' movie friday night"rise planet apes",i conquest ',positive,0,0,0
' "what happen lost access google account tomorrow?" - dont know. hahahaha! ',neutral,0,1,0
' @twittabeast @immaculate_nat da da night girl roll da mta! long afford that! ',positive,1,1,0
' going opeth apolo barcelona, spain - nov 22 ',objective,0,0,0
' @kwan1926 laugh death!!!lol!! dont trust translation google anymore! full errors!! btw played truant today .\_/.! ',negative,1,2,1
' jealous ridiculous adventure @misterjorgensen tonight sit watching big brother. ',negative,1,2,1
' safe mode networking - internet: troubleshooting bsod windows 7 m... ',neutral,1,0,0
' friday warmly embrace things kiwi!! nz tonga will playing rooftop nz flavoured bbq steinlager plenty ',positive,4,0,0
' #nw true blood cant wait tomorrow ',positive,1,1,0
' forward jersey shore starting tonight. started ireland yet?? tweeps think?? #jerseyshore ',positive,0,0,0
' caught true blood!! love it... time bed! night peeps.. safe tonight :)!!! ',positive,3,0,0
' @tpolamalu congrats contract good luck tomorrow bmore! steelers! ',positive,2,0,0
' sad news today, great player. rt @buccigross: pavol demitra died russian plane crash. ',negative,1,1,0
' lol fell tonight clumsy man bahahahaaa sooo funny jus keep thinkin kevin hart ',positive,1,2,0
' lol, imma real madrid fan, dont barca win :d. barca winning, crap haha. cmon real fans vote! ',neutral,2,0,0
' today learned deus game set detroit: ',objective,1,1,0
' planning watching teen choice awards tonight. spoiler alert: winners justin bieber twilight. ',positive,1,0,0
' excited rise planet apes tonight ',positive,1,0,0
' time #musicmonday.. todays choice pj harvey - dark places, album england shake enjoy monday! ',objective,1,2,0
' clue tca tonight. guess wins, twilight justin bieber win everything. year. ',neutral,0,0,0
' @wheremypeoples @iamxprettyboy @jayspacely26 @hantzleyxa love yall guys. ',neutral,1,0,0
' today tablet pcs - guide windows 7 operating system ',objective,0,0,0
' jjc lol rt @he_is_el: hurts..i pre-ordered watch throne, late bought cancelling order. â£20 gone! ',negative,0,0,0
' win metronomy, pj harvey satisfactory outcome tonights mercury awards. ',positive,1,0,0
' learn google analytic today.... hope doesnt technical. forward though. ',positive,1,0,1
' happy 3rd birthday rachel @maddow team! ',positive,1,0,0
' help!! cant wait final destination 5 friday!! ',positive,0,0,0
' tonights wwe raw takes place hp pavilion san jose, california. confirmed tonights summerslam... ',objective,0,0,0
' latest: steelers, polamalu agree four-year deal: pittsburgh steelers agreed terms saturday troy p... ',objective,1,0,0
' rt @thescore teammates pavol demitra reflect fallen friend lokomotiv plane crash russia today. bit.ly/ofhtcq ',neutral,1,0,0
' quiet story-wise morning. emails yammer activity & alert pj harvey tickets going sale. ',neutral,0,0,2
' 7/9/1983 madonna released "holiday" single "madonna: album", 1st madonna song enter billboard hot 100. ',positive,1,0,0
' child excitement building ahead #rwc 2nd team going tonga #loveabitofbiff ',positive,1,0,0
' yassss, deus 26th august. brightened day bit:) ',positive,0,0,0
' work ahead cleaning house 10pm night sons anarchy ',positive,0,1,0
' #iphone5 doesnt september 7th, suing steve jobs...i cant motorola razr longer.. ',negative,0,0,0
' @afairclub sold tonight!! charlie sheens cake party!! marco hanna live dudu sax !!! ',positive,1,0,0
' eb idk dont good guess ill call netflix night. ',negative,1,1,0
' dreaming vampire diaries night. galing. ',neutral,0,0,0
' conrad murrays trial set september 8th, will live television. watching it. #justiceformj ',objective,2,1,0
' @rarenotions it?.? ',neutral,0,0,0
' "you night night nigga? night night !" - kevin hart ',neutral,0,0,0
' tweet tomorrow jersey shore, tweeting 10 times nfl season opener. ',neutral,0,0,0
' devo brown: great night everyone!! dont forget tomorrow roz mocha speak lloyd robertson & jason priestley! ',positive,1,1,0
' @statisbeatnik pray 7 times day salat dude! ',neutral,0,0,1
' "world union" (with opera singers) rugby cup will august/september(12th) ',objective,1,0,0
' @shenadee hopefully will knocked top spot friends @thereason4 week ',neutral,4,1,0
